inchi_key,inchi,name,atom_bag,p_kas,smiles,major_ms,number_of_protons,charges,cross_references
MZFOKIKEPGUZEN-FBMOWMAESA-N,"InChI=1S/C25H40N7O19P3S/c1-12(23(37)38)24(39)55-7-6-27-14(33)4-5-28-21(36)18(35)25(2,3)9-48-54(45,46)51-53(43,44)47-8-13-17(50-52(40,41)42)16(34)22(49-13)32-11-31-15-19(26)29-10-30-20(15)32/h10-13,16-18,22,34-35H,4-9H2,1-3H3,(H,27,33)(H,28,36)(H,37,38)(H,43,44)(H,45,46)(H2,26,29,30)(H2,40,41,42)/t12?,13-,16-,17-,18+,22-/m1/s1",KEGG:C02557,"{""C"": 25, ""O"": 19, ""S"": 1, ""N"": 7, ""H"": 35, ""P"": 3, ""e-"": 452}","[6.1, 5.49, 4.3, 3.86, 3.47, 2.99, 1.89, 0.82]",CC(C([O-])=O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)N1C=NC2=C(N)N=CN=C12,0.0,"[35, 36, 37, 38, 39, 40, 41, 42, 43]","[-5, -4, -3, -2, -1, 0, 1, 2, 3]",KEGG:C02557
VIHYIVKEECZGOU-UHFFFAOYSA-N,"InChI=1S/C5H6N2O/c1-5(8)7-3-2-6-4-7/h2-4H,1H3",KEGG:C02560,"{""C"": 5, ""O"": 1, ""N"": 2, ""H"": 6, ""e-"": 58}",[2.69],CC(=O)N1C=CN=C1,0.0,"[6, 7]","[0, 1]",KEGG:C02560
RDHQFKQIGNGIED-MRVPVSSYSA-O,"InChI=1S/C9H17NO4/c1-7(11)14-8(5-9(12)13)6-10(2,3)4/h8H,5-6H2,1-4H3/p+1/t8-/m1/s1",KEGG:C02571,"{""C"": 9, ""O"": 4, ""H"": 17, ""N"": 1, ""e-"": 110}",[4.09],CC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,0.0,"[17, 18]","[0, 1]",KEGG:C02571
VYGQUTWHTHXGQB-FFHKNEKCSA-N,"InChI=1S/C36H60O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-25-35(37)38-30-28-32(3)23-20-22-31(2)26-27-34-33(4)24-21-29-36(34,5)6/h20,22-23,26-28H,7-19,21,24-25,29-30H2,1-6H3/b23-20+,27-26+,31-22+,32-28+",KEGG:C02588,"{""C"": 36, ""O"": 2, ""H"": 60, ""e-"": 292}",[],CCCCCCCCCCCCCCCC(=O)OC\C=C(/C)\C=C\C=C(/C)\C=C\C1=C(C)CCCC1(C)C,0.0,[60],[0],KEGG:C02588
SMJRBWINMFUUDS-UHFFFAOYSA-N,"InChI=1S/C6H6O2S/c7-6(8)4-5-2-1-3-9-5/h1-3H,4H2,(H,7,8)",KEGG:C02595,"{""O"": 2, ""C"": 6, ""S"": 1, ""H"": 5, ""e-"": 74}",[4.55],[O-]C(=O)CC1=CC=CS1,0.0,"[5, 6]","[-1, 0]",KEGG:C02595
XFTRTWQBIOMVPK-RXMQYKEDSA-N,"InChI=1S/C5H8O5/c1-5(10,4(8)9)2-3(6)7/h10H,2H2,1H3,(H,6,7)(H,8,9)/t5-/m1/s1",KEGG:C02612,"{""C"": 5, ""O"": 5, ""H"": 6, ""e-"": 78}","[5.3, 3.35]",C[C@@](O)(CC([O-])=O)C([O-])=O,0.0,"[6, 7, 8]","[-2, -1, 0]",KEGG:C02612
XFTRTWQBIOMVPK-YFKPBYRVSA-N,"InChI=1S/C5H8O5/c1-5(10,4(8)9)2-3(6)7/h10H,2H2,1H3,(H,6,7)(H,8,9)/t5-/m0/s1",KEGG:C02614,"{""C"": 5, ""O"": 5, ""H"": 6, ""e-"": 78}","[5.3, 3.35]",C[C@](O)(CC([O-])=O)C([O-])=O,0.0,"[6, 7, 8]","[-2, -1, 0]",KEGG:C02614
YNOWULSFLVIUDH-UHFFFAOYSA-O,"InChI=1S/C7H13NO3/c1-8(2,3)5-6(9)4-7(10)11/h4-5H2,1-3H3/p+1",KEGG:C02636,"{""C"": 7, ""N"": 1, ""O"": 3, ""H"": 13, ""e-"": 86}",[3.94],C[N+](C)(C)CC(=O)CC([O-])=O,0.0,"[13, 14]","[0, 1]",KEGG:C02636
SLWWJZMPHJJOPH-PHDIDXHHSA-N,"InChI=1S/C7H8O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,5-6,9-10H,2H2,(H,11,12)/t5-,6-/m1/s1",KEGG:C02637,"{""O"": 5, ""C"": 7, ""H"": 7, ""e-"": 90}","[12.42, 3.02]",O[C@@H]1C=C(CC(=O)[C@H]1O)C([O-])=O,1.0,"[6, 7, 8]","[-2, -1, 0]",KEGG:C02637
JSJWCHRYRHKBBW-UHFFFAOYSA-N,"InChI=1S/C4H8N2O3/c5-4(9)6-2-1-3(7)8/h1-2H2,(H,7,8)(H3,5,6,9)",KEGG:C02642,"{""N"": 2, ""C"": 4, ""O"": 3, ""H"": 7, ""e-"": 70}",[4.03],NC(=O)NCCC([O-])=O,0.0,"[7, 8]","[-1, 0]",KEGG:C02642
XNEFHYFPRJBTJF-INEUFUBQSA-N,"InChI=1S/C7H8O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,4,6,8,10H,2H2,(H,11,12)/t4-,6-/m1/s1",KEGG:C02652,"{""O"": 5, ""C"": 7, ""H"": 7, ""e-"": 90}","[12.35, 3.73]",O[C@@H]1C=C(CC(=O)[C@@H]1O)C([O-])=O,1.0,"[6, 7, 8]","[-2, -1, 0]",KEGG:C02652
DKZBBWMURDFHNE-NSCUHMNNSA-N,"InChI=1S/C10H10O3/c1-13-10-7-8(3-2-6-11)4-5-9(10)12/h2-7,12H,1H3/b3-2+",KEGG:C02666,"{""C"": 10, ""O"": 3, ""H"": 10, ""e-"": 94}",[9.52],COC1=C(O)C=CC(C=CC=O)=C1,1.0,"[9, 10]","[-1, 0]",KEGG:C02666
