inchi_key,inchi,name,atom_bag,p_kas,smiles,major_ms,number_of_protons,charges,cross_references
XLYOFNOQVPJJNP-UHFFFAOYSA-N,InChI=1S/H2O/h1H2,KEGG:C00001,"{""O"": 1, ""H"": 2, ""e-"": 10}",[],O,0.0,[2],[0],KEGG:C00001
ZKHQWZAMYRWXGA-KQYNXXCUSA-N,"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",KEGG:C00002,"{""N"": 5, ""C"": 10, ""H"": 13, ""O"": 13, ""P"": 3, ""e-"": 260}","[12.6, 7.42, 4.93, 3.29, 1.55, 0.9]",NC1=C2N=CN([C@@H]3O[C@H](COP([O-])(=O)OP([O-])(=O)OP(O)([O-])=O)[C@@H](O)[C@H]3O)C2=NC=N1,2.0,"[11, 12, 13, 14, 15, 16, 17]","[-5, -4, -3, -2, -1, 0, 1]",KEGG:C00002
BAWFJGJZGIEFAR-NNYOXOHSSA-O,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",KEGG:C00003,"{""N"": 7, ""C"": 21, ""O"": 14, ""H"": 26, ""P"": 2, ""e-"": 344}","[11.76, 6.4, 5.13, 4.54, 3.25, 1.86]",NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,1.0,"[25, 26, 27, 28, 29, 30, 31]","[-2, -1, 0, 1, 2, 3, 4]",KEGG:C00003
BOPGDPNILDQYTO-NNYOXOHSSA-N,"InChI=1S/C21H29N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1,3-4,7-8,10-11,13-16,20-21,29-32H,2,5-6H2,(H2,23,33)(H,34,35)(H,36,37)(H2,22,24,25)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",KEGG:C00004,"{""N"": 7, ""C"": 21, ""O"": 14, ""H"": 27, ""P"": 2, ""e-"": 346}","[12.73, 12.02, 4.93, 2.29, 1.87, 0.49]",NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,2.0,"[25, 26, 27, 28, 29, 30, 31]","[-4, -3, -2, -1, 0, 1, 2]",KEGG:C00004
ACFIXJIJDZMPPO-NNYOXOHSSA-N,"InChI=1S/C21H30N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1,3-4,7-8,10-11,13-16,20-21,29-31H,2,5-6H2,(H2,23,32)(H,36,37)(H,38,39)(H2,22,24,25)(H2,33,34,35)/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",KEGG:C00005,"{""N"": 7, ""C"": 21, ""O"": 17, ""H"": 26, ""P"": 3, ""e-"": 386}","[12.15, 5.78, 4.87, 3.26, 1.05, 0.74, 0.27]",NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])([O-])=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,1.0,"[25, 26, 27, 28, 29, 30, 31, 32]","[-5, -4, -3, -2, -1, 0, 1, 2]",KEGG:C00005
XJLXINKUBYWONI-NNYOXOHSSA-O,"InChI=1S/C21H28N7O17P3/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(44-46(33,34)35)14(30)11(43-21)6-41-48(38,39)45-47(36,37)40-5-10-13(29)15(31)20(42-10)27-3-1-2-9(4-27)18(23)32/h1-4,7-8,10-11,13-16,20-21,29-31H,5-6H2,(H7-,22,23,24,25,32,33,34,35,36,37,38,39)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",KEGG:C00006,"{""N"": 7, ""C"": 21, ""O"": 17, ""H"": 25, ""P"": 3, ""e-"": 384}","[6.48, 5.74, 5.06, 4.51, 3.25, 1.88, 0.66]",NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](OP([O-])([O-])=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O,0.0,"[25, 26, 27, 28, 29, 30, 31, 32]","[-3, -2, -1, 0, 1, 2, 3, 4]",KEGG:C00006
MYMOFIZGZYHOMD-UHFFFAOYSA-N,InChI=1S/O2/c1-2,KEGG:C00007,"{""O"": 2, ""e-"": 16}",[],O=O,0.0,[0],[0],KEGG:C00007
XTWYTFMLZFPYCI-KQYNXXCUSA-N,"InChI=1S/C10H15N5O10P2/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(24-10)1-23-27(21,22)25-26(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",KEGG:C00008,"{""N"": 5, ""C"": 10, ""H"": 13, ""O"": 10, ""P"": 2, ""e-"": 220}","[13.98, 12.46, 7.42, 4.93, 2.22, 1.77]",NC1=C2N=CN([C@@H]3O[C@H](COP([O-])(=O)OP(O)([O-])=O)[C@@H](O)[C@H]3O)C2=NC=N1,3.0,"[10, 11, 12, 13, 14, 15, 16]","[-5, -4, -3, -2, -1, 0, 1]",KEGG:C00008
NBIIXXVUZAFLBC-UHFFFAOYSA-N,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)",KEGG:C00009,"{""O"": 4, ""P"": 1, ""H"": 1, ""e-"": 50}","[12.9, 6.95, 1.8]",OP([O-])([O-])=O,1.0,"[0, 1, 2, 3]","[-3, -2, -1, 0]",KEGG:C00009
RGJOEKWQDUBAIZ-IBOSZNHHSA-N,"InChI=1S/C21H36N7O16P3S/c1-21(2,16(31)19(32)24-4-3-12(29)23-5-6-48)8-41-47(38,39)44-46(36,37)40-7-11-15(43-45(33,34)35)14(30)20(42-11)28-10-27-13-17(22)25-9-26-18(13)28/h9-11,14-16,20,30-31,48H,3-8H2,1-2H3,(H,23,29)(H,24,32)(H,36,37)(H,38,39)(H2,22,25,26)(H2,33,34,35)/t11-,14-,15-,16+,20-/m1/s1",KEGG:C00010,"{""C"": 21, ""O"": 16, ""P"": 3, ""H"": 32, ""N"": 7, ""S"": 1, ""e-"": 400}","[6.25, 5.68, 4.88, 3.86, 3.14, 0.91, 0.82]",CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)N1C=NC2=C(N)N=CN=C12)[C@@H](O)C(=O)NCCC(=O)NCCS,0.0,"[32, 33, 34, 35, 36, 37, 38, 39]","[-4, -3, -2, -1, 0, 1, 2, 3]",KEGG:C00010
CURLTUGMZLYLDI-UHFFFAOYSA-N,InChI=1S/CO2/c2-1-3,KEGG:C00011,"{""O"": 2, ""C"": 1, ""e-"": 22}",[],O=C=O,0.0,[0],[0],KEGG:C00011
XPPKVPWEQAFLFU-UHFFFAOYSA-N,"InChI=1S/H4O7P2/c1-8(2,3)7-9(4,5)6/h(H2,1,2,3)(H2,4,5,6)",KEGG:C00013,"{""O"": 7, ""P"": 2, ""H"": 1, ""e-"": 90}","[7.96, 6.9, 3.06, 1.7]",OP([O-])(=O)OP([O-])([O-])=O,1.0,"[0, 1, 2, 3, 4]","[-4, -3, -2, -1, 0]",KEGG:C00013
QGZKDVFQNNGYKY-UHFFFAOYSA-N,InChI=1S/H3N/h1H3,KEGG:C00014,"{""N"": 1, ""H"": 4, ""e-"": 10}",[8.86],[NH4+],1.0,"[3, 4]","[0, 1]",KEGG:C00014
XCCTYIAWTASOJW-XVFCMESISA-N,"InChI=1S/C9H14N2O12P2/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(22-8)3-21-25(19,20)23-24(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",KEGG:C00015,"{""O"": 12, ""C"": 9, ""H"": 12, ""P"": 2, ""N"": 2, ""e-"": 208}","[12.56, 7.82, 7.2, 3.21, 1.77]",O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP([O-])(=O)OP(O)([O-])=O)N1C=CC(=O)NC1=O,3.0,"[9, 10, 11, 12, 13, 14]","[-5, -4, -3, -2, -1, 0]",KEGG:C00015
VWWQXMAJTJZDQX-UYBVJOGSSA-N,"InChI=1S/C27H33N9O15P2/c1-10-3-12-13(4-11(10)2)35(24-18(32-12)25(42)34-27(43)33-24)5-14(37)19(39)15(38)6-48-52(44,45)51-53(46,47)49-7-16-20(40)21(41)26(50-16)36-9-31-17-22(28)29-8-30-23(17)36/h3-4,8-9,14-16,19-21,26,37-41H,5-7H2,1-2H3,(H,44,45)(H,46,47)(H2,28,29,30)(H,34,42,43)/t14-,15+,16+,19-,20+,21+,26+/m0/s1",KEGG:C00016,"{""C"": 27, ""N"": 9, ""H"": 30, ""O"": 15, ""P"": 2, ""e-"": 408}","[13.98, 12.46, 5.06, 4.36, 2.26, 1.85]",CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C(N)N=CN=C13)C1=NC(=O)[N-]C(=O)C1=N2,2.0,"[28, 29, 30, 31, 32, 33, 34]","[-5, -4, -3, -2, -1, 0, 1]",KEGG:C00016
UDMBCSSLTHHNCD-KQYNXXCUSA-N,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",KEGG:C00020,"{""N"": 5, ""C"": 10, ""H"": 12, ""O"": 7, ""P"": 1, ""e-"": 180}","[13.98, 12.46, 6.27, 3.92, 1.23]",NC1=C2N=CN([C@@H]3O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]3O)C2=NC=N1,2.0,"[10, 11, 12, 13, 14, 15]","[-4, -3, -2, -1, 0, 1]",KEGG:C00020
ZJUKTBDSGOFHSH-WFMPWKQPSA-N,"InChI=1S/C14H20N6O5S/c15-6(14(23)24)1-2-26-3-7-9(21)10(22)13(25-7)20-5-19-8-11(16)17-4-18-12(8)20/h4-7,9-10,13,21-22H,1-3,15H2,(H,23,24)(H2,16,17,18)/t6-,7+,9+,10+,13+/m0/s1",KEGG:C00021,"{""N"": 6, ""C"": 14, ""H"": 20, ""O"": 5, ""S"": 1, ""e-"": 202}","[12.47, 9.5, 3.94, 1.81]",NC1=C2N=CN([C@@H]3O[C@H](CSCC[C@H]([NH3+])C([O-])=O)[C@@H](O)[C@H]3O)C2=NC=N1,2.0,"[18, 19, 20, 21, 22]","[-2, -1, 0, 1, 2]",KEGG:C00021
LCTONWCANYUPML-UHFFFAOYSA-N,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)",KEGG:C00022,"{""C"": 3, ""O"": 3, ""H"": 3, ""e-"": 46}",[2.93],CC(=O)C([O-])=O,0.0,"[3, 4]","[-1, 0]",KEGG:C00022
XEEYBQQBJWHFJM-UHFFFAOYSA-N,InChI=1S/Fe,KEGG:C00023,"{""Fe"": 1, ""e-"": 26}",[],[Fe],0.0,[0],[0],KEGG:C00023
ZSLZBFCDCINBPY-ZSJPKINUSA-N,"InChI=1S/C23H38N7O17P3S/c1-12(31)51-7-6-25-14(32)4-5-26-21(35)18(34)23(2,3)9-44-50(41,42)47-49(39,40)43-8-13-17(46-48(36,37)38)16(33)22(45-13)30-11-29-15-19(24)27-10-28-20(15)30/h10-11,13,16-18,22,33-34H,4-9H2,1-3H3,(H,25,32)(H,26,35)(H,39,40)(H,41,42)(H2,24,27,28)(H2,36,37,38)/t13-,16-,17-,18+,22-/m1/s1",KEGG:C00024,"{""C"": 23, ""O"": 17, ""S"": 1, ""N"": 7, ""H"": 34, ""P"": 3, ""e-"": 422}","[6.16, 5.6, 4.86, 3.79, 3.12, 0.91, 0.82]",CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP([O-])([O-])=O)N1C=NC2=C(N)N=CN=C12,0.0,"[34, 35, 36, 37, 38, 39, 40, 41]","[-4, -3, -2, -1, 0, 1, 2, 3]",KEGG:C00024
WHUUTDBJXJRKMK-VKHMYHEASA-N,"InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)/t3-/m0/s1",KEGG:C00025,"{""N"": 1, ""H"": 8, ""C"": 5, ""O"": 4, ""e-"": 78}","[9.54, 4.27, 1.88]",[NH3+][C@@H](CCC([O-])=O)C([O-])=O,1.0,"[7, 8, 9, 10]","[-2, -1, 0, 1]",KEGG:C00025
KPGXRSRHYNQIFN-UHFFFAOYSA-N,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)",KEGG:C00026,"{""O"": 5, ""C"": 5, ""H"": 4, ""e-"": 76}","[3.87, 2.66]",[O-]C(=O)CCC(=O)C([O-])=O,0.0,"[4, 5, 6]","[-2, -1, 0]",KEGG:C00026
MHAJPDPJQMAIIY-UHFFFAOYSA-N,InChI=1S/H2O2/c1-2/h1-2H,KEGG:C00027,"{""O"": 2, ""H"": 2, ""e-"": 18}",[11.52],OO,1.0,"[1, 2]","[-1, 0]",KEGG:C00027
HSCJRCZFDFQWRP-JZMIEXBBSA-N,"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8-,9-,10+,11-,12-,13-,14-/m1/s1",KEGG:C00029,"{""O"": 17, ""C"": 15, ""H"": 22, ""P"": 2, ""N"": 2, ""e-"": 294}","[13.24, 12.63, 12.05, 7.59, 3.18, 1.73]",OC[C@H]1O[C@H](OP([O-])(=O)OP([O-])(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,4.0,"[18, 19, 20, 21, 22, 23, 24]","[-6, -5, -4, -3, -2, -1, 0]",KEGG:C00029
WQZGKKKJIJFFOK-GASJEMHNSA-N,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",KEGG:C00031,"{""O"": 6, ""C"": 6, ""H"": 12, ""e-"": 96}","[13.58, 12.69, 11.3]",OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,3.0,"[9, 10, 11, 12]","[-3, -2, -1, 0]",KEGG:C00031
QTBSBXVTEAMEQO-UHFFFAOYSA-N,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",KEGG:C00033,"{""C"": 2, ""O"": 2, ""H"": 3, ""e-"": 32}",[4.54],CC([O-])=O,0.0,"[3, 4]","[-1, 0]",KEGG:C00033
PWHULOQIROXLJO-UHFFFAOYSA-N,InChI=1S/Mn,KEGG:C00034,"{""Mn"": 1, ""e-"": 25}",[],[Mn],0.0,[0],[0],KEGG:C00034
QGWNDRXFNXRZMB-UUOKFMHZSA-N,"InChI=1S/C10H15N5O11P2/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(25-9)1-24-28(22,23)26-27(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",KEGG:C00035,"{""N"": 5, ""C"": 10, ""H"": 13, ""O"": 11, ""P"": 2, ""e-"": 228}","[12.65, 11.58, 7.42, 4.07, 3.15, 1.77]",NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP([O-])(=O)OP(O)([O-])=O)[C@@H](O)[C@H]2O)C(=O)N1,3.0,"[10, 11, 12, 13, 14, 15, 16]","[-5, -4, -3, -2, -1, 0, 1]",KEGG:C00035
KHPXUQMNIQBQEV-UHFFFAOYSA-N,"InChI=1S/C4H4O5/c5-2(4(8)9)1-3(6)7/h1H2,(H,6,7)(H,8,9)",KEGG:C00036,"{""O"": 5, ""C"": 4, ""H"": 2, ""e-"": 68}","[3.58, 2.41]",[O-]C(=O)CC(=O)C([O-])=O,0.0,"[2, 3, 4]","[-2, -1, 0]",KEGG:C00036
DHMQDGOQFOQNFH-UHFFFAOYSA-N,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",KEGG:C00037,"{""N"": 1, ""H"": 5, ""C"": 2, ""O"": 2, ""e-"": 40}","[9.24, 2.31]",[NH3+]CC([O-])=O,1.0,"[4, 5, 6]","[-1, 0, 1]",KEGG:C00037
QNAYBMKLOCPYGJ-REOHCLBHSA-N,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",KEGG:C00041,"{""C"": 3, ""H"": 7, ""N"": 1, ""O"": 2, ""e-"": 48}","[9.48, 2.47]",C[C@H]([NH3+])C([O-])=O,1.0,"[6, 7, 8]","[-1, 0, 1]",KEGG:C00041
KDYFGRWQOYBRFD-UHFFFAOYSA-N,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",KEGG:C00042,"{""O"": 4, ""C"": 4, ""H"": 4, ""e-"": 62}","[5.69, 3.55]",[O-]C(=O)CCC([O-])=O,0.0,"[4, 5, 6]","[-2, -1, 0]",KEGG:C00042
LFTYTUAZOPRMMI-CFRASDGPSA-N,"InChI=1S/C17H27N3O17P2/c1-6(22)18-10-13(26)11(24)7(4-21)35-16(10)36-39(31,32)37-38(29,30)33-5-8-12(25)14(27)15(34-8)20-3-2-9(23)19-17(20)28/h2-3,7-8,10-16,21,24-27H,4-5H2,1H3,(H,18,22)(H,29,30)(H,31,32)(H,19,23,28)/t7-,8-,10-,11-,12-,13-,14-,15-,16-/m1/s1",KEGG:C00043,"{""C"": 17, ""O"": 17, ""N"": 3, ""H"": 25, ""P"": 2, ""e-"": 316}","[13.91, 13.04, 12.4, 7.59, 5.66, 3.18, 1.73]",CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP([O-])(=O)OP([O-])(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,4.0,"[21, 22, 23, 24, 25, 26, 27, 28]","[-6, -5, -4, -3, -2, -1, 0, 1]",KEGG:C00043
XKMLYUALXHKNFT-UUOKFMHZSA-N,"InChI=1S/C10H16N5O14P3/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(27-9)1-26-31(22,23)29-32(24,25)28-30(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H,24,25)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1",KEGG:C00044,"{""N"": 5, ""C"": 10, ""H"": 13, ""O"": 14, ""P"": 3, ""e-"": 268}","[12.65, 11.58, 7.42, 3.3, 2.53, 0.9]",NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP([O-])(=O)OP([O-])(=O)OP(O)([O-])=O)[C@@H](O)[C@H]2O)C(=O)N1,3.0,"[10, 11, 12, 13, 14, 15, 16]","[-6, -5, -4, -3, -2, -1, 0]",KEGG:C00044
KDXKERNSBIXSRK-YFKPBYRVSA-N,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1",KEGG:C00047,"{""N"": 2, ""H"": 15, ""C"": 6, ""O"": 2, ""e-"": 80}","[10.29, 9.44, 2.74]",[NH3+]CCCC[C@H]([NH3+])C([O-])=O,2.0,"[13, 14, 15, 16]","[-1, 0, 1, 2]",KEGG:C00047
HHLFWLYXYJOTON-UHFFFAOYSA-N,"InChI=1S/C2H2O3/c3-1-2(4)5/h1H,(H,4,5)",KEGG:C00048,"{""O"": 3, ""C"": 2, ""H"": 1, ""e-"": 38}",[2.61],[O-]C(=O)C=O,0.0,"[1, 2]","[-1, 0]",KEGG:C00048
CKLJMWTZIZZHCS-REOHCLBHSA-N,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1",KEGG:C00049,"{""N"": 1, ""H"": 6, ""C"": 4, ""O"": 4, ""e-"": 70}","[9.61, 5.11, 1.7]",[NH3+][C@@H](CC([O-])=O)C([O-])=O,1.0,"[5, 6, 7, 8]","[-2, -1, 0, 1]",KEGG:C00049
RWSXRVCMGQZWBV-WDSKDSINSA-N,"InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1",KEGG:C00051,"{""N"": 3, ""H"": 16, ""C"": 10, ""O"": 6, ""S"": 1, ""e-"": 162}","[10.2, 9.43, 5.72, 4.28, 3.4, 2.01, 1.43]",[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC([O-])=O)C([O-])=O,2.0,"[14, 15, 16, 17, 18, 19, 20, 21]","[-3, -2, -1, 0, 1, 2, 3, 4]",KEGG:C00051
HSCJRCZFDFQWRP-WBRQRZOHSA-N,"InChI=1S/C15H24N2O17P2/c18-3-5-8(20)10(22)12(24)14(32-5)33-36(28,29)34-35(26,27)30-4-6-9(21)11(23)13(31-6)17-2-1-7(19)16-15(17)25/h1-2,5-6,8-14,18,20-24H,3-4H2,(H,26,27)(H,28,29)(H,16,19,25)/t5-,6-,8+,9-,10+,11-,12-,13?,14-/m1/s1",KEGG:C00052,"{""O"": 17, ""C"": 15, ""H"": 22, ""P"": 2, ""N"": 2, ""e-"": 294}","[13.24, 12.63, 12.05, 7.59, 3.18, 1.73]",OC[C@H]1O[C@H](OP([O-])(=O)OP([O-])(=O)OC[C@H]2OC([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O,4.0,"[18, 19, 20, 21, 22, 23, 24]","[-6, -5, -4, -3, -2, -1, 0]",KEGG:C00052
IERHLVCPSMICTF-XVFCMESISA-N,"InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",KEGG:C00055,"{""N"": 3, ""C"": 9, ""O"": 8, ""H"": 12, ""P"": 1, ""e-"": 168}","[12.57, 6.45, 5.69, 3.25, 1.22]",NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O,1.0,"[11, 12, 13, 14, 15, 16]","[-3, -2, -1, 0, 1, 2]",KEGG:C00055
BDAGIHXWWSANSR-UHFFFAOYSA-N,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",KEGG:C00058,"{""O"": 2, ""C"": 1, ""H"": 1, ""e-"": 24}",[4.27],[O-]C=O,0.0,"[1, 2]","[-1, 0]",KEGG:C00058
QAOWNCQODCNURD-UHFFFAOYSA-N,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)",KEGG:C00059,"{""O"": 4, ""S"": 1, ""e-"": 50}",[1.9],[O-]S([O-])(=O)=O,0.0,"[0, 1]","[-2, -1]",KEGG:C00059
FVTCRASFADXXNN-SCRDCRAPSA-N,"InChI=1S/C17H21N4O9P/c1-7-3-9-10(4-8(7)2)21(15-13(18-9)16(25)20-17(26)19-15)5-11(22)14(24)12(23)6-30-31(27,28)29/h3-4,11-12,14,22-24H,5-6H2,1-2H3,(H,20,25,26)(H2,27,28,29)/t11-,12+,14-/m0/s1",KEGG:C00061,"{""C"": 17, ""N"": 4, ""H"": 18, ""O"": 9, ""P"": 1, ""e-"": 238}","[12.91, 6.52, 4.45, 1.49]",CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP([O-])([O-])=O)C1=NC(=O)[N-]C(=O)C1=N2,1.0,"[17, 18, 19, 20, 21]","[-4, -3, -2, -1, 0]",KEGG:C00061
ODKSFYDXXFIFQN-BYPYZUCNSA-N,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1",KEGG:C00062,"{""N"": 4, ""C"": 6, ""H"": 15, ""O"": 2, ""e-"": 94}","[12.41, 9.12, 2.41]",NC(=[NH2+])NCCC[C@H]([NH3+])C([O-])=O,2.0,"[13, 14, 15, 16]","[-1, 0, 1, 2]",KEGG:C00062
PCDQPRRSZKQHHS-XVFCMESISA-N,"InChI=1S/C9H16N3O14P3/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(24-8)3-23-28(19,20)26-29(21,22)25-27(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,19,20)(H,21,22)(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",KEGG:C00063,"{""N"": 3, ""C"": 9, ""O"": 14, ""H"": 13, ""P"": 3, ""e-"": 248}","[12.57, 7.43, 5.91, 3.57, 3.05, 2.46, 0.89]",NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP([O-])(=O)OP([O-])(=O)OP(O)([O-])=O)[C@@H](O)[C@H]1O,2.0,"[11, 12, 13, 14, 15, 16, 17, 18]","[-5, -4, -3, -2, -1, 0, 1, 2]",KEGG:C00063
ZDXPYRJPNDTMRX-VKHMYHEASA-N,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",KEGG:C00064,"{""N"": 2, ""C"": 5, ""O"": 3, ""H"": 10, ""e-"": 78}","[13.07, 9.53, 2.07]",NC(=O)CC[C@H]([NH3+])C([O-])=O,2.0,"[8, 9, 10, 11]","[-2, -1, 0, 1]",KEGG:C00064
MTCFGRXMJLQNBG-REOHCLBHSA-N,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",KEGG:C00065,"{""N"": 1, ""H"": 7, ""C"": 3, ""O"": 3, ""e-"": 56}","[8.93, 2.03]",[NH3+][C@@H](CO)C([O-])=O,1.0,"[6, 7, 8]","[-1, 0, 1]",KEGG:C00065
